x       y       z
-5 0.544021 -0.759688
-4.89899 0.364598 -0.531019
-4.79798 0.170347 -0.25396
-4.69697 -0.0308341 0.0462419
-4.59596 -0.23076 0.342229
-4.49495 -0.421301 0.607031
-4.39394 -0.594705 0.816515
-4.29293 -0.743922 0.951593
-4.19192 -0.862879 0.999956
-4.09091 -0.946741 0.957196
-3.9899 -0.992096 0.82721
-3.88889 -0.997098 0.621842
-3.78788 -0.961545 0.359808
-3.68687 -0.886882 0.0649859
-3.58586 -0.776147 -0.235758
-3.48485 -0.633843 -0.515018
-3.38384 -0.465758 -0.747346
-3.28283 -0.27873 -0.911571
-3.18182 -0.080364 -0.992727
-3.08081 0.12127 -0.98342
-2.9798 0.317971 -0.884496
-2.87879 0.50174 -0.704971
-2.77778 0.665102 -0.461204
-2.67677 0.801411 -0.175409
-2.57576 0.905124 0.12637
-2.47475 0.972022 0.416634
-2.37374 0.999385 0.668931
-2.27273 0.986099 0.86027
-2.17172 0.932705 0.973216
-2.07071 0.841375 0.997476
-1.9697 0.715823 0.930839
-1.86869 0.561156 0.779378
-1.76768 0.383664 0.556894
-1.66667 0.190568 0.283662
-1.56566 -0.0102791 -0.0154184
-1.46465 -0.210708 -0.313094
-1.36364 -0.402568 -0.582239
-1.26263 -0.578053 -0.798326
-1.16162 -0.730026 -0.941664
-1.06061 -0.852307 -0.999191
-0.959596 -0.939922 -0.965665
-0.858586 -0.989306 -0.844141
-0.757576 -0.998452 -0.645694
-0.656566 -0.966988 -0.388406
-0.555555 -0.896192 -0.0957229
-0.454545 -0.788946 0.205681
-0.353535 -0.649609 0.488344
-0.252525 -0.483852 0.726504
-0.151515 -0.298414 0.898461
-0.0505052 -0.100839 0.988543
0.0505052 0.100839 0.988543
0.151515 0.298414 0.898461
0.252525 0.483852 0.726504
0.353535 0.649609 0.488344
0.454545 0.788946 0.205681
0.555555 0.896192 -0.0957229
0.656566 0.966988 -0.388406
0.757576 0.998452 -0.645694
0.858586 0.989306 -0.844141
0.959596 0.939922 -0.965665
1.06061 0.852307 -0.999191
1.16162 0.730026 -0.941664
1.26263 0.578053 -0.798326
1.36364 0.402567 -0.582239
1.46465 0.210709 -0.313095
1.56566 0.0102791 -0.0154184
1.66667 -0.190568 0.283662
1.76768 -0.383664 0.556894
1.86869 -0.561155 0.779377
1.9697 -0.715823 0.930839
2.07071 -0.841374 0.997476
2.17172 -0.932705 0.973216
2.27273 -0.986099 0.86027
2.37374 -0.999385 0.668931
2.47475 -0.972022 0.416633
2.57576 -0.905124 0.12637
2.67677 -0.80141 -0.17541
2.77778 -0.665102 -0.461204
2.87879 -0.50174 -0.704971
2.9798 -0.317972 -0.884496
3.08081 -0.121271 -0.983419
3.18182 0.080364 -0.992727
3.28283 0.27873 -0.911571
3.38384 0.465759 -0.747346
3.48485 0.633842 -0.515019
3.58586 0.776147 -0.235759
3.68687 0.886882 0.0649859
3.78788 0.961545 0.359809
3.88889 0.997098 0.621843
3.9899 0.992096 0.827209
4.09091 0.946741 0.957196
4.19192 0.862879 0.999956
4.29293 0.743921 0.951593
4.39394 0.594706 0.816516
4.49495 0.421301 0.607031
4.59596 0.23076 0.342229
4.69697 0.0308331 0.0462405
4.79798 -0.170346 -0.253959
4.89899 -0.364598 -0.531019
5 -0.544021 -0.759688
